experiment_id,publication_id,citation_label,current_unit_type,proposed_unit_type,n_experiments_in_publication,n_participants_analysed,modality,affective_status,effector_type,manipulation,measured_outcome,report_type,theory_attribution_by_authors,by_authors_locus,contested_inclusion,contested_reason,quote,note,proposed_new_row
P26-E3,P26,"Yang, Zald & Blake 2007",none (proposed new row),"experiment (Experiment 3: eyes-only stimuli, detection)",3,6 (t(5)),visual,valenced,,Expression conveyed by isolated eye regions (fearful vs neutral vs happy) under CFS; detection task as Experiment 1,Time to break suppression for eyes-only stimuli (fear 2.74 s < neutral 3.45 s < happy 4.65 s),report (button press at first visibility),"none named (Discussion frames the result as preferential access to awareness of negatively charged expressions and amygdala-based rapid detection; no coded theory named in Introduction, Results or Discussion)",none; Discussion: 'Our results add to the growing evidence that negatively charged facial expressions gain preferential access to awareness.',False,,"Results: 'Using the same task and display as Experiment 1, but with stimuli consisting of only eyes, Experiment 3 revealed emotion effects consistent with those of the previous two experiments, F(1.72, 8.59) = 29.17 ... Detecting eyes that convey fear (M = 2.74 s, SD = .78) was reliably faster than detecting eyes extracted from neutral expressions (M = 3.45 s, SD = 1.02), t(5) = 3.95, p = .01'.",Proposed new row; small follow-up sample (n = 6).,True
P27-E1,P27,Sheth & Pham 2008,publication-as-one (partition unverified),"publication-as-one (single rivalry experiment, run in two sessions on one sample; confirmed)",1,12 analysed (18 recruited; data of 6 discarded because of a computer glitch),visual,valenced,,Arousal and valence of rival IAPS pictures (iso-valence pairs differing in arousal; iso-arousal pairs differing in valence; content-matched pairs differing in both); 60-s trials with picture–eye swap every 15 s,"Total and mean dominance durations, initial percept, ternary (left/right/mixed) continuous report; rivalry coherence; eye-swap transitions; low-level image statistics as covariates","report (continuous key-press report of the dominant percept, ternary including mixed)",none named (the Introduction states a hypothesis about amygdala projections to visual cortex and rivalry; Discussion §4.2 relates the results to stimulus- vs eye-rivalry views; no coded theory named),"none; Introduction: 'In light of recent neural evidence that the amygdala projects to visual cortex ... and evidence that awareness does not arise in the primary visual cortex (Crick & Koch, 1995; ...), we hypothesize that the emotional content ...'; Discussion 4.2: 'Our findings are thus concordant with the recent view of rivalry that stimuli, and not just the two eyes, compete (Logothetis, Leopold, & Sheinberg, 1996) for visual awareness.'",False,,"2.1 Participants: 'Participants were eighteen healthy volunteers (9 female) from the University of Houston (age: 21.6 ± 0.6 years, age range: 18–27) ... Data from six observers were discarded because of a computer glitch discovered later.' 2.3 Procedure: 'Participants continually reported, by hitting the corresponding key on a computer keyboard, their ongoing conscious percept throughout the' trial.",No partition change; N supplied (18 recruited / 12 analysed).,False
P28-E1,P28,Gayet et al. 2016,publication-as-one (partition unverified),"experiment (Experiment 1, main: fear conditioning then b-CFS with monocular control condition)",3 (Experiment 1 main; Experiment 2 salience control with a new sample; Experiment 3 equiluminance control on 15 of the Experiment 2 participants),16 analysed of 18 recruited (2 excluded for too many no-responses); 12 in additional Eye-condition analyses,visual,valenced,,Acquired threat value: colour annulus paired with electric shock (CS+) vs unpaired (CS−) in a fear-conditioning phase; then interocular suppression vs monocular control presentation in b-CFS,Response time to report grating orientation (index of suppression duration) for CS+ vs CS− in suppression vs monocular conditions; Bayes factor for the monocular null,report (speeded orientation report of the grating once visible; orthogonal response mapping),"none named (Dehaene, Kerszberg & Changeux 1998 is cited in the Introduction only for the functional property that awareness is associated with performing demanding tasks; no theory named as tested or as the framework the result bears on)","none; Introduction: 'Visual awareness has been associated with such functional properties as performing demanding tasks (Dehaene, Kerszberg, & Changeux, 1998) and guiding novel behavior ...'",False,,"Methods, Participants: 'Eighteen healthy participants were selected for (corrected to) normal vision ...' Data analysis: 'In four participants, at least 50% of the trials in either the CS+ or the CS- condition yielded an infinitely long response (i.e., no response). ... As such, the analyses in the Results section are based on 16 participants, for eight of which the shocks were associated with the red annulus color.'","PARTITION CHANGE: the publication reports Experiment 1 (main), Experiment 2 (luminance-salience analogue, new sample of 18, 16 analysed) and Experiment 3 (equiluminance control, 15 of the Experiment 2 sample). Propose P28-E1 = Experiment 1 and new rows P28-E2, P28-E3 flagged ancillary_experiment = True.",False
P28-E2,P28,Gayet et al. 2016,none (proposed new row),experiment (Experiment 2: bottom-up salience analogue — high- vs low-luminance annulus in b-CFS with monocular control),3 (Experiment 1 main; Experiment 2 salience control with a new sample; Experiment 3 equiluminance control on 15 of the Experiment 2 participants),16 analysed of 18 recruited (1 no responses within limit; 1 diplopia),visual,neutral,,Luminance contrast of the annulus (red at maximal luminance vs equiluminant blue) × suppression vs monocular presentation; no conditioning,"Response times for high- vs low-contrast annuli in suppression vs monocular conditions (Contrast × Suppression interaction, F(1,15) = 7.32)",report (speeded orientation report),"none named (Dehaene, Kerszberg & Changeux 1998 is cited in the Introduction only for the functional property that awareness is associated with performing demanding tasks; no theory named as tested or as the framework the result bears on)","none; Introduction: 'Visual awareness has been associated with such functional properties as performing demanding tasks (Dehaene, Kerszberg, & Changeux, 1998) and guiding novel behavior ...'",True,"Control/ancillary experiment testing whether a salience increase mimics the threat effect; no affective manipulation. Candidate ancillary_experiment = True (content class would be neutral-visual, not valenced)","Experiment 2, Methods: 'Eighteen healthy students, to which all same inclusion criteria applied as to that of the main experiment, participated in this supplemental experiment. One participant was excluded ... Another participant was excluded because he reported having repeatedly experienced diplopia ... The eventual group of participants consisted of 6 males and 10 females'.",Proposed new row (ancillary).,True
P28-E3,P28,Gayet et al. 2016,none (proposed new row),experiment (Experiment 3: equiluminance control for the red and blue annuli),3 (Experiment 1 main; Experiment 2 salience control with a new sample; Experiment 3 equiluminance control on 15 of the Experiment 2 participants),15 (subset of the 16 Experiment 2 participants),visual,neutral,,Perceptually equiluminant blue vs red annuli under b-CFS (no salience or threat difference expected),Suppression durations for the two colours (no a priori difference),report (speeded orientation report),"none named (Dehaene, Kerszberg & Changeux 1998 is cited in the Introduction only for the functional property that awareness is associated with performing demanding tasks; no theory named as tested or as the framework the result bears on)","none; Introduction: 'Visual awareness has been associated with such functional properties as performing demanding tasks (Dehaene, Kerszberg, & Changeux, 1998) and guiding novel behavior ...'",True,Pure control experiment on a re-used sample; ancillary_experiment = True; no access or affect manipulation of interest,"Experiment 2, Results: 'To ensure that there were no a priori differences in suppression durations of the blue and red annuli, we ran an additional control experiment (Experiment 3), which comprised 15 of the 16 participants that were included in Experiment 2. In this control experiment, the blue and red annuli were perceptually equiluminant.'",Proposed new row (ancillary); sample overlaps Experiment 2 (same sample_id).,True
P29-E1,P29,Whalen et al. 1998,publication-as-one (partition unverified),publication-as-one (single fMRI experiment; confirmed),1,8 analysed of 10 scanned (2 excluded because debriefing indicated they had seen features of the target expressions); pulse rate in 6 of the 8,visual,valenced,,Valence of backward-masked target expression (fearful vs happy faces masked by neutral faces at 33 ms SOA) vs fixation baseline; access held below threshold throughout (no seen/unseen contrast),BOLD signal in amygdala (masked fear > masked happy) and substantia innominata; pulse rate; post-scan debriefing,report (post hoc debriefing after all presentations: recall then recognition of seen faces; no trial-wise report),none named (framed as automaticity of amygdala response and nonconscious monitoring of emotional stimuli; no coded theory named in Introduction or Discussion),"none; Discussion: 'The present study was designed as a demonstration of the automaticity of amygdala response and as an initial effort toward determining whether awareness is a prerequisite for amygdala activation.' ... 'consistent with data implicating the amygdala in the nonconscious monitoring of emotional stimuli (Halgren, 1992; Öhman, 1992; LeDoux, 1996).'",True,Access held below threshold throughout by masking (no seen/unseen contrast); awareness assessed only by post hoc debriefing (I1 contested category); confirmed by the full text,"Abstract/Methods: 'Pictures of human faces bearing fearful or happy expressions were presented to 10 normal, healthy subjects by using a backward masking procedure that resulted in 8 of 10 subjects reporting that they had not seen these facial expressions.' Results, Subject debriefing: 'Two of the 10 subjects offered descriptions indicating that they had seen features of the emotional target stimuli. ... Therefore, we present here brain activation data for the eight subjects who reported having seen only the neutral faces.'",No partition change. participants_in_analysis = 8 (not 10); participants_total = 10 stands.,False
P31-E1,P31,Nieuwenhuis et al. 2001,publication-as-one (partition unverified),publication-as-one (single ERP experiment; confirmed),1,15 analysed (3 further participants tested and replaced for <2.5% perceived or unperceived errors; i.e. 18 tested),motor,neutral,skeletal,None over access; antisaccade task with valid/invalid precues to induce direction errors; trial-wise judgement of own performance sorts errors into perceived vs unperceived (about 50% perceived),"Ne/ERN and Pe amplitude for perceived vs unperceived vs correct trials; saccade size, SRT, correction time; post-error slowing",report (trial-wise subjective judgement of antisaccade performance at the end of each trial),"none named (framed within Ne/Pe error-monitoring accounts — Falkenstein et al.; the ""attention hypothesis"" of Deubel et al./Mokler & Fischer; no coded theory named)","none; Discussion: 'The present study examined the relation between error processing, as reflected by the Ne and Pe, and conscious self-monitoring of behavior.' ... 'A later error monitoring process, reflected by the Pe, is strongly associated with awareness of the occurrence of the actual (erroneous) response.'",False,,"Method, Participants: 'Fifteen undergraduate students (12 women) from the University of Amsterdam participated in this experiment. ... Three participants were replaced because their proportion of perceived or unperceived errors in the relevant (horizontal; see Data Analysis section) dimension was smaller than 2.5%.' Results: 'Importantly, of all the direction errors, only 50% were perceived by the participants as such.'",No partition change. N supplied (15 analysed; 18 tested). Motor-conflict (skeletal) coding under §4.2 rule (ii) consistent with the full text: the accessed content is the erroneous reflexive saccade.,False
P32-E1,P32,Garfinkel et al. 2015,publication-as-one (partition unverified),publication-as-one (single normative correlational study; confirmed),1,80 took part in all procedures (age recorded for 76); no exclusions stated,interoceptive,interoceptive,,"None over access; individual differences: heartbeat tracking and heartbeat discrimination accuracy, trial-wise confidence, and questionnaire sensibility (BPQ, Porges)","Interoceptive accuracy, interoceptive sensibility, interoceptive awareness (confidence–accuracy correspondence, ROC area) and their dissociation; regressions across dimensions",report (trial-wise confidence ratings; questionnaire self-report; heartbeat counting/discrimination responses),"PP — named in the Discussion as the framework the data bear on ('interoceptive predictive coding' / 'interoceptive inference', citing Seth 2013 and Seth et al. 2011, which are §5 PP primary statements); 'Predictive coding' is also an author keyword","Discussion (final section): 'These arguments, alongside the present data, further substantiate an emerging theoretical framework of ‘interoceptive predictive coding’ or ‘interoceptive inference’ (Gu, Hof, Friston, & Fan, 2013; Seth, 2013; Seth et al., 2011). Here, Bayesian principles of predictive processing (e.g. Clark, 2013) are extended to interoception, such that subjective feeling states (emotions) are proposed to arise from hierarchically-organized probabilistic inference of the causes of interoceptive signals.' Keywords: 'Predictive coding'.",True,"Measured, not manipulated: first-order interoceptive accuracy and a metacognitive index (confidence–accuracy correspondence); metacognitive index rather than access manipulation (I1); confirmed by the full text","1.1 Participants: 'Eighty participants took part in all experimental procedures. Demographic data were collected for sex, age and body mass index.' 2.1: 'Age was recorded for N = 76 participants [mean = 25.1 years, Std. = 4.44].' Introduction: 'we retain the use of the term interoceptive awareness to refer to the correspondence between objective interoceptive accuracy and subjective report, i.e. metacognitive awareness'.","No partition change. Attribution changes from ""none named"" to PP named by the authors (Discussion).",False
P33-E1,P33,Farb et al. 2013,publication-as-one (partition unverified),"publication-as-one (single fMRI experiment, two randomised groups; a 7-participant behavioural pilot on respiration monitoring is reported in Methods but is not an inventory experiment; confirmed)","1 (+ a 7-participant pilot, not a row)",36 analysed (MT group 20 of 23 enrolled; untrained waitlist 16); respiration data complete for 27 (20 MT + 7 untrained),interoceptive,interoceptive,,Attentional target (interoceptive attention to respiration vs exteroceptive attention to visual words) × group (8-week MBSR training vs waitlist); no manipulation or trial-wise measurement of awareness of the interoceptive content,Insula and DMPFC BOLD during interoceptive vs exteroceptive attention; functional connectivity; respiration frequency; practice-compliance correlations; cortical thickness,report (task compliance only — button presses to breath counts/visual targets; no awareness report),none named (interpreted with Craig’s insula model of present-moment awareness and the goals of mindfulness training; no coded theory named in Introduction or Discussion),"none; Discussion: 'individuals completing an 8 week MBSR course demonstrated IA-specific functional plasticity in the middle and anterior insula, regions theorized to support present moment awareness (Farb et al., 2007; Craig, 2009)'.",True,"The contrast is attentional focus (interoceptive vs exteroceptive) crossed with training; conscious access to the interoceptive content is neither manipulated nor measured, so I1 is not clearly met; confirmed by the full text","Participants: 'The untrained group included 12 women and 4 men (N = 16; mean age 42.00 ± 9.24), while the MT group included 15 women and 5 men (N = 20; mean age 45.55 ± 13.38).' 'Of the 23 participants originally enrolled in the MBSR group, 20 were retained for the current study, whereas the other 3 did not meet course participation requirements.'",No partition change. N supplied (36 analysed; 39 randomised).,False
P34-E1,P34,Pinto et al. 2017,publication-as-one (partition unverified),"experiment (Experiment 1: detection/localisation across the visual field, three response types; both patients)","5 numbered experiments (9 sub-experiments: 1, 2A–C, 3A–B, 4A–B, 5); Experiment 1 on both patients, Experiments 2–5 on Patient DDC only",2 (Patients DDV and DDC); single-case permutation statistics per patient,visual,neutral,,"Visual hemifield (LVF/RVF) × response type (verbal, left hand, right hand); stimulus present vs absent (50%)",Detection hits/false alarms and localisation error per hemifield and response type; response type × hemifield interaction (absent),report (yes/no detection and pointing/verbal localisation),"GNWT (as ""Global Workspace theory"", Baars; Dehaene & Naccache 2001) and IIT — named in Introduction and Discussion as the theories the result challenges; RPT (""local recurrent processing theory"", Lamme & Roelfsema 2000; Lamme 2006) — named in the Discussion as the theory the results ""may fit well with"". Lau & Rosenthal 2011 (HOT) is cited only as rationale for using confidence ratings, not as a theory the result bears on.","Discussion: 'This preserved unity of consciousness may be especially challenging for the two currently most dominant theories of consciousness, the Global Workspace theory (Baars, 1988, 2005; Dehaene and Naccache, 2001) and the Integration Information theory (Tononi, 2004, 2005; Tononi and Koch, 2015).' ... 'It thus seems that the current results provide a challenge for the Global Workspace and the Integrated Information theory of consciousness. However, the current results may fit well with the local recurrent processing theory of consciousness (Lamme and Roelfsema, 2000; Lamme, 2006; Block, 2007).' Introduction: 'both the Global Workspace theory ... and the Information Integration theory ... imply that without massive inter-hemispheric communication ...'",False,,"Patients and methods, Subjects: 'For Experiment 1 we tested Patients DDC and DDV, for Experiments 2–5 we tested Patient DDC.' Results: 'Both patients responded (nearly) perfectly in indicating presence of the stimulus (Patient DDV, hits: 100%, false alarms: 0%; Patient DDC, hits: 97.5%, false alarms: 7.7%)'.","PARTITION CHANGE: the Report is a battery of five numbered experiments (with lettered sub-experiments) collected over several years; only Experiment 1 includes both patients. Propose P34-E1 = Experiment 1 and new rows P34-E2..E5 (n = 1 each, Patient DDC); the first coder may alternatively split the lettered sub-experiments (9 rows).",False
P34-E2,P34,Pinto et al. 2017,none (proposed new row),"experiment (Experiment 2A–C: within- vs between-hemifield same/different comparison of orientations, shapes, pictures)","5 numbered experiments (9 sub-experiments: 1, 2A–C, 3A–B, 4A–B, 5); Experiment 1 on both patients, Experiments 2–5 on Patient DDC only",1 (Patient DDC),visual,neutral,,"Stimulus pair location (both LVF, both RVF, or one in each hemifield) × response type (2A verbal only; 2B three types; 2C hands only)",Same/different accuracy within vs across hemifields (cross-hemifield comparison at chance),report (same/different judgement),"GNWT (as ""Global Workspace theory"", Baars; Dehaene & Naccache 2001) and IIT — named in Introduction and Discussion as the theories the result challenges; RPT (""local recurrent processing theory"", Lamme & Roelfsema 2000; Lamme 2006) — named in the Discussion as the theory the results ""may fit well with"". Lau & Rosenthal 2011 (HOT) is cited only as rationale for using confidence ratings, not as a theory the result bears on.","Discussion: 'This preserved unity of consciousness may be especially challenging for the two currently most dominant theories of consciousness, the Global Workspace theory (Baars, 1988, 2005; Dehaene and Naccache, 2001) and the Integration Information theory (Tononi, 2004, 2005; Tononi and Koch, 2015).' ... 'It thus seems that the current results provide a challenge for the Global Workspace and the Integrated Information theory of consciousness. However, the current results may fit well with the local recurrent processing theory of consciousness (Lamme and Roelfsema, 2000; Lamme, 2006; Block, 2007).' Introduction: 'both the Global Workspace theory ... and the Information Integration theory ... imply that without massive inter-hemispheric communication ...'",False,,"Procedure: 'In Experiment 2A, Patient DDC indicated whether two rectangles had the same orientation. In Experiment 2B he reported if two simple shapes were the same, and in Experiment 2C he indicated if two pictures were equal.'",Proposed new row.,True
P34-E3,P34,Pinto et al. 2017,none (proposed new row),experiment (Experiment 3A–B: matching a lateralised picture to a verbal label or to a picture),"5 numbered experiments (9 sub-experiments: 1, 2A–C, 3A–B, 4A–B, 5); Experiment 1 on both patients, Experiments 2–5 on Patient DDC only",1 (Patient DDC),visual,neutral,,Hemifield of the picture × response format (verbal label vs picture selection) × response type,Matching accuracy per hemifield (separate performance levels per hemifield for labelling/matching),report (forced-choice label/picture selection),"GNWT (as ""Global Workspace theory"", Baars; Dehaene & Naccache 2001) and IIT — named in Introduction and Discussion as the theories the result challenges; RPT (""local recurrent processing theory"", Lamme & Roelfsema 2000; Lamme 2006) — named in the Discussion as the theory the results ""may fit well with"". Lau & Rosenthal 2011 (HOT) is cited only as rationale for using confidence ratings, not as a theory the result bears on.","Discussion: 'This preserved unity of consciousness may be especially challenging for the two currently most dominant theories of consciousness, the Global Workspace theory (Baars, 1988, 2005; Dehaene and Naccache, 2001) and the Integration Information theory (Tononi, 2004, 2005; Tononi and Koch, 2015).' ... 'It thus seems that the current results provide a challenge for the Global Workspace and the Integrated Information theory of consciousness. However, the current results may fit well with the local recurrent processing theory of consciousness (Lamme and Roelfsema, 2000; Lamme, 2006; Block, 2007).' Introduction: 'both the Global Workspace theory ... and the Information Integration theory ... imply that without massive inter-hemispheric communication ...'",False,,"Procedure: 'In Experiment 3A a picture was presented for 120 ms in the left or right visual field, after which Patient DDC selected the correct verbal label matching the picture. Experiment 3B was identical to 3A, but instead of selecting a verbal label, Patient DDC selected from two pictures which image he had just seen.'",Proposed new row.,True
P34-E4,P34,Pinto et al. 2017,none (proposed new row),experiment (Experiment 4A–B: shape identification and orientation change with trial-wise confidence),"5 numbered experiments (9 sub-experiments: 1, 2A–C, 3A–B, 4A–B, 5); Experiment 1 on both patients, Experiments 2–5 on Patient DDC only",1 (Patient DDC),visual,neutral,,Hemifield × response type (4A hands only); trial-wise confidence (1–4) to separate high- from low-confidence trials,Accuracy on all vs high-confidence trials per hemifield and response type (metacognitive accuracy; no response type × hemifield interaction),report (identification/discrimination plus confidence rating),"GNWT (as ""Global Workspace theory"", Baars; Dehaene & Naccache 2001) and IIT — named in Introduction and Discussion as the theories the result challenges; RPT (""local recurrent processing theory"", Lamme & Roelfsema 2000; Lamme 2006) — named in the Discussion as the theory the results ""may fit well with"". Lau & Rosenthal 2011 (HOT) is cited only as rationale for using confidence ratings, not as a theory the result bears on.","Discussion: 'This preserved unity of consciousness may be especially challenging for the two currently most dominant theories of consciousness, the Global Workspace theory (Baars, 1988, 2005; Dehaene and Naccache, 2001) and the Integration Information theory (Tononi, 2004, 2005; Tononi and Koch, 2015).' ... 'It thus seems that the current results provide a challenge for the Global Workspace and the Integrated Information theory of consciousness. However, the current results may fit well with the local recurrent processing theory of consciousness (Lamme and Roelfsema, 2000; Lamme, 2006; Block, 2007).' Introduction: 'both the Global Workspace theory ... and the Information Integration theory ... imply that without massive inter-hemispheric communication ...'",False,,"Procedure: 'In both experiments, after each trial, Patient DDC indicated confidence in his judgement (Experiment 4A on a scale from 1 to 4, Experiment 4B on a scale from 1 to 4).' Fig. 4 legend: 'Across three experiments Patient DDC performed better on high confidence than on low confidence trials, suggesting accurate metacognition.'",Proposed new row.,True
P34-E5,P34,Pinto et al. 2017,none (proposed new row),experiment (Experiment 5: detection/localisation with confidence; bright vs equiluminant stimuli),"5 numbered experiments (9 sub-experiments: 1, 2A–C, 3A–B, 4A–B, 5); Experiment 1 on both patients, Experiments 2–5 on Patient DDC only",1 (Patient DDC),visual,neutral,,As Experiment 1 plus confidence (1–5) and stimulus visibility (bright green vs equiluminant dim green on red),Detection and localisation accuracy on all vs high-confidence trials per hemifield and response type,"report (detection, localisation and confidence rating)","GNWT (as ""Global Workspace theory"", Baars; Dehaene & Naccache 2001) and IIT — named in Introduction and Discussion as the theories the result challenges; RPT (""local recurrent processing theory"", Lamme & Roelfsema 2000; Lamme 2006) — named in the Discussion as the theory the results ""may fit well with"". Lau & Rosenthal 2011 (HOT) is cited only as rationale for using confidence ratings, not as a theory the result bears on.","Discussion: 'This preserved unity of consciousness may be especially challenging for the two currently most dominant theories of consciousness, the Global Workspace theory (Baars, 1988, 2005; Dehaene and Naccache, 2001) and the Integration Information theory (Tononi, 2004, 2005; Tononi and Koch, 2015).' ... 'It thus seems that the current results provide a challenge for the Global Workspace and the Integrated Information theory of consciousness. However, the current results may fit well with the local recurrent processing theory of consciousness (Lamme and Roelfsema, 2000; Lamme, 2006; Block, 2007).' Introduction: 'both the Global Workspace theory ... and the Information Integration theory ... imply that without massive inter-hemispheric communication ...'",False,,"Procedure: 'Experiment 5 was similar to Experiment 1, except after each trial Patient DDC indicated confidence in his presence and location judgement (on a scale from 1 to 5). Moreover, stimuli were bright green on a red background, or dim green on a red background.'",Proposed new row.,True
P36-E1,P36,Kawagoe et al. 2019,publication-as-one (partition unverified),publication-as-one (single fMRI experiment with experience sampling; confirmed),1,26 in the mind-blanking analysis (29 enrolled; 3 excluded for never reporting mind blanking),not applicable (state),neutral,,"No content contrast; a single instruction to ""think of nothing"" during a long fMRI run, with experience-sampling probes classifying preceding periods as mind blanking (MB) vs mind wandering (MW, with sub-categories past/present/future, positive/negative, internal/external) — MB vs MW is classified from reports, not instructed as two conditions","fMRI activation/deactivation time-locked to probe-reported MB vs MW periods (MB: Broca area/inferior frontal, hippocampus, ACC deactivations/activations); proportion of MB reports (57%)",report (experience-sampling probes with button-press answers during the scan),none named (interpreted via default-mode/executive network accounts of mind wandering and inner speech; no coded theory named),"none; Introduction: 'Several brain regions or networks might be related to this psychological state—for example, DMN and executive network (Christoff et al., 2009; Fox et al., 2015), as in MW'.",False,,"2.1 Participants: 'Twenty-nine subjects (12 females and 17 males; mean age: 23.6 years, SD: 3.5; ...) were enrolled after providing written informed consent.' Results: 'Three participants were excluded from this analysis because they did not report MB at all.' 2.2: 'they were instructed to “Keep awake, fixate on the cross, and think of nothing as best you can.”'","No partition change. Field change: the abstract-based manipulation ""Instructed state (mind blanking vs mind wandering)"" should read as a single instruction with report-based classification of MB vs MW periods. State row remains outside the content denominators.",False
